claim_id,claim_seq,policy_id,station_id,solar_system,production_load,exposure,energy_backup_score,safety_compliance,claim_amount
BI-C-0000136,2,BI-001291,A5,Zeta,0.061,0.488,2,1,21865563
BI-C-0000137,1,BI-001306,G5,Zeta,0.396,0.554,4,1,395546
BI-C-0000138,1,BI-001320,G1,Helionis Cluster,0.829,0.889,2,2,1356613
BI-C-0000139,1,BI-001324,G7,Epsilon,0.254,0.859,4,2,3025617
BI-C-0000140,1,BI-001393,B5,Helionis Cluster,0.165,0.144,2,4,2393899
BI-C-0000141,1,BI-001422,A5,Zeta,0.559,0.577,1,1,1967944
BI-C-0000142,1,BI-001423,G5,Epsilon,0.561,0.764,5,2,1667391
BI-C-0000143,2,BI-001423,G5,Epsilon,0.561,0.764,5,2,224803
BI-C-0000144,3,BI-001423,G5,Epsilon,0.561,0.764,5,2,2384338
BI-C-0000145,1,BI-001437,B6,Zeta,0.195,0.294,4,3,950208
BI-C-0000146,1,BI-001460,A8,Zeta,0.266,0.33,2,3,1863169
BI-C-0000147,2,BI-001460,A8,Zeta,0.266,0.33,2,3,11749297
BI-C-0000148,1,BI-001478,A3,Epsilon,0.003,0.123,2,2,2200202
BI-C-0000149,1,BI-001481,G3,Helionis Cluster,0.933,0.594,4,3,1754278
BI-C-0000150,1,BI-001483,G8,Epsilon,0.308,0.325,5,1,23887096
BI-C-0000151,1,BI-001492,B2,Helionis Cluster,0.4,0.707,5,5,2925749
BI-C-0000152,1,BI-001536,G8,Epsilon,0.523,0.487,4,5,1730788
BI-C-0000153,2,BI-001536,G8,Epsilon,0.523,0.487,4,5,935624
BI-C-0000154,3,BI-001536,G8,Epsilon,0.523,0.487,4,5,74497
BI-C-0000155,1,BI-001539,G1,Zeta,0.524,0.792,3,2,7979872
BI-C-0000156,1,BI-001540,G5,Helionis Cluster,0.549,0.769,1,1,1230954
BI-C-0000157,1,BI-001554,A2,Zeta,0.801,0.565,4,2,2519639
BI-C-0000158,1,BI-001575,B2,Zeta,0.776,0.716,2,5,6572094
BI-C-0000159,1,BI-001581,B6,Zeta,0.291,0.748,4,5,62857834.78
BI-C-0000160,1,BI-001585,A2,Zeta,0.897,0.42,2,4,712757
BI-C-0000161,2,BI-001585,A2,Zeta,0.897,0.42,2,4,4896510
BI-C-0000162,1,BI-001628,A8,Epsilon,0.354,0.237,3,5,1318043
BI-C-0000163,1,BI-001640,B7,Epsilon,0.904,0.195,1,4,3107104
BI-C-0000164,1,BI-001650,G3,Epsilon,0.754,0.678,3,2,6892163
BI-C-0000165,1,BI-001667,G1,Helionis Cluster,0.209,0.326,5,4,2664358
BI-C-0000166,2,BI-001667,G1,Helionis Cluster,0.209,0.326,5,4,1384795
BI-C-0000167,1,BI-001676,A5,Epsilon,0.443,0.497,3,2,955814
BI-C-0000168,1,BI-001677,B2,Zeta,0.465,0.301,5,4,680733
BI-C-0000169,1,BI-001679,B6,Epsilon,0.041,0.612,5,1,2310279
BI-C-0000170,2,BI-001679,B6,Epsilon,0.041,0.612,5,1,16755120
BI-C-0000171,1,BI-001734,B8,Zeta,0.979,0.726,4,3,686688
BI-C-0000172,2,BI-001734,B8,Zeta,0.979,0.726,4,3,3948881
BI-C-0000173,1,BI-001740,G2,Helionis Cluster,0.465,0.208,5,5,114651608
BI-C-0000174,1,BI-001769,B9,Epsilon,0.075,0.25,2,2,8890301
BI-C-0000175,1,BI-001779,G8,Zeta,0.242,0.635,2,5,1313783
BI-C-0000176,1,BI-001783,A2,Epsilon,0.772,0.083,2,1,1822076
BI-C-0000177,1,BI-001790,B3,Zeta,0.573,0.506,4,3,2022357
BI-C-0000178,1,BI-001793,A5,Epsilon,0.578,0.341,3,4,6171993
BI-C-0000179,1,BI-001797,A3,Epsilon,0.426,0.661,1,4,662900
BI-C-0000180,1,BI-001802,B1,Zeta,0.161,0.608,1,3,2798444
BI-C-0000181,1,BI-001803,A8,Zeta,0.726,0.372,2,2,1132019
BI-C-0000182,2,BI-001803,A8,Zeta,0.726,0.372,2,2,22216250
BI-C-0000183,1,BI-001816,A4,Epsilon,0.517,0.445,4,2,605666
BI-C-0000184,2,BI-001816,A4,Epsilon,0.517,0.445,4,2,4106121
BI-C-0000185,1,BI-001817,G2,Zeta,0.214,0.453,4,3,655536
BI-C-0000186,2,BI-001817,G2,Zeta,0.214,0.453,4,3,1180536
BI-C-0000187,3,BI-001817,G2,Zeta,0.214,0.453,4,3,1215584
BI-C-0000188,1,BI-001820,G3,Helionis Cluster,0.517,0.532,2,3,7957146
BI-C-0000189,2,BI-001820,G3,Helionis Cluster,0.517,0.532,2,3,1769256
BI-C-0000190,1,BI-001848,G7,Helionis Cluster,0.121,0.139,5,2,2208589
BI-C-0000191,1,BI-001857,B1,Helionis Cluster,0.559,0.307,1,2,607325
BI-C-0000192,2,BI-001857,N/A,Helionis Cluster,0.559,0.307,1,2,2164067
BI-C-0000193,1,BI-001893,A7,Zeta,0.524,0.383,3,2,684812
BI-C-0000194,1,BI-001936,A3,Epsilon,0.31,0.899,3,2,2038931
BI-C-0000195,1,BI-001960,G8,Helionis Cluster,0.589,0.836,1,4,788215
BI-C-0000196,2,BI-001960,G8,Helionis Cluster,0.589,0.836,1,4,1493907
BI-C-0000197,1,BI-001998,B6,Zeta,0.908,0.413,4,2,1698091
BI-C-0000198,1,BI-001999,A7,Epsilon,0.455,0.923,3,5,3688519
BI-C-0000199,1,BI-002028,B7,Epsilon,0.155,0.311,3,2,1152593
BI-C-0000200,1,BI-002041,G9,Helionis Cluster,0.134,0.618,4,1,7756044
BI-C-0000201,1,BI-002091,B8,Helionis Cluster,0.65,0.358,1,2,1170200
BI-C-0000202,1,BI-002124,G8,Epsilon,0.066,0.447,2,2,515734
BI-C-0000203,2,BI-002124,G8,Epsilon,0.066,0.447,2,2,1853831
BI-C-0000204,3,BI-002124,G8,Epsilon,0.066,0.447,2,2,274493
BI-C-0000205,1,BI-002135,B8,Zeta,0.673,0.771,1,2,1833361
BI-C-0000206,2,BI-002135,B8,Zeta,0.673,0.771,1,2,1837959
BI-C-0000207,1,BI-002141,A1,Epsilon,0.397,0.202,1,2,10985619
BI-C-0000208,1,BI-002147,G7,Epsilon,0.662,0.692,2,2,11554588
BI-C-0000209,2,BI-002147,G7,Epsilon,0.662,0.692,2,2,9916883
BI-C-0000210,1,BI-002153,A5,Epsilon,0.878,0.722,4,2,101344
BI-C-0000211,2,BI-002153,A5,Epsilon,0.878,0.722,4,2,852788
BI-C-0000212,1,BI-002164,B7,Epsilon,0.834,0.725,2,0,4724065
BI-C-0000213,1,BI-002177,G7,Epsilon,0.958,0.734,1,5,2015965
BI-C-0000214,2,BI-002177,G7,Epsilon,0.958,0.734,1,5,11287395
BI-C-0000215,1,BI-002183,B2,Zeta,0.591,0.162,5,2,1922823
BI-C-0000216,1,BI-002208,B3,Helionis Cluster,0.073,0.321,3,4,1429020
BI-C-0000217,1,BI-002241,G8,Epsilon,0.552,0.368,1,4,2664894
BI-C-0000218,2,BI-002241,G8,Epsilon,0.552,0.368,1,4,10336092
BI-C-0000219,1,BI-002248,B1,Epsilon,0.255,0.653,1,5,10951622
BI-C-0000220,1,BI-002260,A7,Epsilon,0.979,0.665,2,3,11119602
BI-C-0000221,1,BI-002268,G3,Epsilon,0.189,0.098,1,1,8571474
BI-C-0000222,1,BI-002269,A7,Zeta,0.44,0.477,4,4,1555810
BI-C-0000223,2,BI-002269,A7,Zeta,0.44,0.477,4,4,281892
BI-C-0000224,3,BI-002269,A7,Zeta,0.44,0.477,4,4,4746607
BI-C-0000225,1,BI-002324,B5,Epsilon,0.253,0.537,5,4,18191150
BI-C-0000226,2,BI-002324,B5,Epsilon,0.253,0.537,5,4,1325174
BI-C-0000227,1,BI-002328,B8,Helionis Cluster,0.701,0.721,4,1,4407292
BI-C-0000228,2,BI-002328,B8,Helionis Cluster,0.701,0.721,4,1,6722623
BI-C-0000229,3,BI-002328,B8,Helionis Cluster,0.701,0.721,4,1,1305722
BI-C-0000230,1,BI-002332,B5,Zeta,0.298,0.875,1,2,1448768
BI-C-0000231,2,BI-002332,B5,Zeta,0.298,0.875,1,2,261582
BI-C-0000232,1,BI-002334,G4,Helionis Cluster,0.374,0.972,5,3,712737
BI-C-0000233,1,BI-002342,A2,Zeta,0.231,0.693,2,1,687702
BI-C-0000234,1,BI-002343,A6,Epsilon,0.364,0.733,5,5,10507973
BI-C-0000235,1,BI-002350,A2,Epsilon,0.367,0.85,3,1,915594
BI-C-0000236,1,BI-002356,G8,Epsilon,0.163,0.576,4,4,7004006
BI-C-0000237,1,BI-002359,B8,Epsilon,0.175,0.674,4,2,5165936
BI-C-0000238,1,BI-002362,G4,Epsilon,0.272,0.746,4,5,11761332
BI-C-0000239,2,BI-002362,G4,Epsilon,0.272,0.746,4,5,6372573
BI-C-0000240,1,BI-002373,B9,Epsilon,0.035,0.392,5,4,892831
BI-C-0000241,1,BI-002406,B1,Helionis Cluster,0.299,0.884,4,2,1406854
BI-C-0000242,1,BI-002413,G9,Zeta,0.686,0.605,5,4,784035
BI-C-0000243,2,BI-002413,G9,Zeta,0.686,0.605,5,4,32775329
BI-C-0000244,1,BI-002482,B4,Epsilon,0.727,0.387,5,4,2010433
BI-C-0000245,2,BI-002482,B4,Epsilon,0.727,0.387,5,4,2914345
BI-C-0000246,1,BI-002487,G5,Epsilon,0.099,0.565,5,5,870179
BI-C-0000247,2,BI-002487,G5,Epsilon,0.099,0.565,5,5,1624329
BI-C-0000248,1,BI-002504,A1,Zeta,0.86,0.61,5,3,6820042
BI-C-0000249,2,BI-002504,A1,Zeta,0.86,0.61,5,3,1280297
BI-C-0000250,1,BI-002508,G3,Epsilon,0.525,0.701,3,2,1658624
BI-C-0000251,1,BI-002521,B2,Zeta,0.004,0.167,2,5,586943
BI-C-0000252,1,BI-002526,A4,Zeta,0.802,0.74,4,4,197559
BI-C-0000253,1,BI-002538,B2,Epsilon,0.03,0.575,3,1,3025600
BI-C-0000254,1,BI-002553,B6,Helionis Cluster,0.645,0.507,4,4,959146
BI-C-0000255,1,BI-002559,B2,Zeta,0.635,0.426,3,4,3233380
BI-C-0000256,1,BI-002572,A5,Epsilon,0.76,0.328,5,5,1668790
BI-C-0000257,2,BI-002572,A5,Epsilon,0.76,0.328,5,5,14801029
BI-C-0000258,1,BI-002575,A2,Epsilon,0.057,0.554,2,5,738322
BI-C-0000259,1,BI-002596,A9,Helionis Cluster,0.5,0.7,2,5,1975456
BI-C-0000260,1,BI-002601,G2,Zeta,0.62,0.678,2,2,367917
BI-C-0000261,1,BI-002619,A8,Zeta,0.543,0.679,1,2,2362761
BI-C-0000262,1,BI-002626,A8,Helionis Cluster,0.922,0.472,1,2,1520310
BI-C-0000263,2,BI-002626,A8,Helionis Cluster,0.922,0.472,1,2,1126168
BI-C-0000264,1,BI-002654,A9,Epsilon,0.918,0.269,4,2,1020468
BI-C-0000265,1,BI-002665,G9,Zeta,0.175,0.528,2,1,4252083
BI-C-0000266,1,BI-002679,B1,Helionis Cluster,0.388,0.728,2,3,2192456
BI-C-0000267,1,BI-002687,B2,Helionis Cluster,0.364,0.503,2,4,3067996
BI-C-0000268,2,BI-002687,B2,Helionis Cluster,0.364,0.503,2,4,7444986
BI-C-0000269,3,BI-002687,B2,Helionis Cluster,0.364,0.503,2,4,641844
BI-C-0000270,1,BI-002690,A7,Zeta,0.749,0.399,5,3,700007
BI-C-0000271,1,BI-002691,G6,Epsilon,0.13,0.889,4,1,574023
BI-C-0000272,2,BI-002691,G6,Epsilon,0.13,0.889,4,1,6199090
BI-C-0000273,3,BI-002691,G6,Epsilon,0.13,0.889,4,1,4945776
BI-C-0000274,4,BI-002691,G6,Epsilon,0.13,0.889,4,1,3418404
BI-C-0000275,1,BI-002705,A3,Helionis Cluster,0.199,0.384,1,1,762465
BI-C-0000276,2,BI-002705,A3,Helionis Cluster,0.199,0.384,1,1,1935771
BI-C-0000277,1,BI-002709,A1,Helionis Cluster,0.146,0.265,2,5,298077
BI-C-0000278,2,BI-002709,A1,Helionis Cluster,0.146,0.265,2,5,354583
BI-C-0000279,1,BI-002715,G5,Epsilon,0.641,0.368,5,5,5578776
BI-C-0000280,1,BI-002755,B6,Epsilon,0.783,0.621,2,2,9256878
BI-C-0000281,2,BI-002755,B6,Epsilon,0.783,0.621,2,2,946935
BI-C-0000282,1,BI-002763,G7,Epsilon,0.997,0.482,5,2,4766336
BI-C-0000283,1,BI-002773,A2,Zeta,0.685,0.453,4,1,247067
BI-C-0000284,1,BI-002781,B6,Epsilon,0.628,0.333,1,5,3431373
BI-C-0000285,1,BI-002808,G5,Helionis Cluster,0.176,0.284,2,3,1168250
BI-C-0000286,1,BI-002813,G8,Epsilon,0.639,0.66,2,5,4130433
BI-C-0000287,2,BI-002813,G8,Epsilon,0.639,0.66,2,5,6977250
BI-C-0000288,1,BI-002816,G7,Zeta,0.726,0.798,4,3,6538501
BI-C-0000289,1,BI-002827,G9,Zeta,0.461,0.726,2,2,834344
BI-C-0000290,2,BI-002827,G9,Zeta,0.461,0.726,2,2,352496
BI-C-0000291,1,BI-002838,G3,Helionis Cluster,0.927,0.606,3,2,1409026
BI-C-0000292,1,BI-002841,G7,Zeta,0.642,0.31,2,4,18232956
BI-C-0000293,2,BI-002841,G7,Zeta,0.642,3.184079047,2,4,2766044
BI-C-0000294,3,BI-002841,G7,Zeta,0.642,0.31,2,4,387600
BI-C-0000295,1,BI-002843,A7,Epsilon,0.254,0.45,3,4,3759020
BI-C-0000296,1,BI-002847,A1,Helionis Cluster,0.188,0.199,2,2,7261813
BI-C-0000297,1,BI-002848,A6,Epsilon,0.502,0.67,1,4,489099
BI-C-0000298,1,BI-002853,G5,Zeta,0.333,0.132,2,2,1532955
BI-C-0000299,1,BI-002891,G8,Epsilon,0.558,0.586,5,3,3547609
BI-C-0000300,1,BI-002896,G7,Epsilon,0.623,0.331,3,3,2227004
BI-C-0000301,1,BI-002904,G7,Zeta,0.642,0.312,3,1,5620925
BI-C-0000302,1,BI-002907,B8,Epsilon,0.816,0.083,5,5,2129755
BI-C-0000303,1,BI-002908,G5,Zeta,0.172,0.392,3,5,8878155
BI-C-0000304,2,BI-002908,G5,Zeta,0.172,0.392,3,5,3960768
BI-C-0000305,3,BI-002908,G5,Zeta,0.172,0.392,3,5,1394889
BI-C-0000306,1,BI-002916,B4,Helionis Cluster,0.075,0.859,2,1,1021638
BI-C-0000307,2,BI-002916,B4,Helionis Cluster,0.075,0.859,2,1,190690
BI-C-0000308,1,BI-002931,B9,Zeta,0.214,0.222,4,1,3670741
BI-C-0000309,1,BI-002944,B6,Zeta,0.023,0.418,4,4,7545731
BI-C-0000310,1,BI-002980,G3,Epsilon,0.448,0.535,5,1,3630263
BI-C-0000311,2,BI-002980,G3,Epsilon,0.448,0.535,5,1,2820173
BI-C-0000312,3,BI-002980,G3,Epsilon,0.448,0.535,5,1,5180211
BI-C-0000313,1,BI-002984,A9,Zeta,0.625,0.452,3,3,7950549
BI-C-0000314,1,BI-002985,G9,Epsilon,0.367,0.81,4,5,2608443
BI-C-0000315,1,BI-003001,G1,Helionis Cluster,0.895,0.579,2,5,1495846
BI-C-0000316,2,BI-003001,G1,Helionis Cluster,0.895,0.579,2,5,1447277
BI-C-0000317,3,BI-003001,G1,Helionis Cluster,0.895,0.579,2,5,3518678
BI-C-0000318,1,BI-003088,A7,Epsilon,0.6,0.463,3,5,929416
BI-C-0000319,2,BI-003088,A7,Epsilon,0.6,0.463,3,5,3522711
BI-C-0000320,1,BI-003098,B1,Epsilon,0.736,0.554,1,2,2884299
BI-C-0000321,1,BI-003129,B9,Epsilon,0.59,0.233,1,5,2565726
BI-C-0000322,1,BI-003134,G6,Helionis Cluster,0.351,0.112,2,1,12280888
BI-C-0000323,1,BI-003163,G7,Zeta,0.628,0.833,5,2,2843566
BI-C-0000324,1,BI-003164,G7,Epsilon,0.99,0.384,1,1,1909258
BI-C-0000325,2,BI-003164,G7,Epsilon,0.99,0.384,1,1,2880809
BI-C-0000326,1,BI-003170,A1,Zeta,0.983,0.688,5,5,771419
BI-C-0000327,1,BI-003174,A9,Epsilon,0.872,0.518,4,5,57110000
BI-C-0000328,1,BI-003178,B5,Zeta,0.526,0.557,2,1,5898649
BI-C-0000329,2,BI-003178,B5,Zeta,0.526,0.557,2,1,3318154
BI-C-0000330,3,BI-003178,B5,Zeta,0.526,0.557,2,1,1693707
