claim_id,claim_seq,policy_id,equipment_id,equipment_type,equipment_age,solar_system,maintenance_int,usage_int,exposure,claim_amount
EF-C-0000080,1,EF-423649,EQ-649276,ReglAggregators,7.973,Helionis Cluster,1653.66,17.26,0.615,65071
EF-C-0000081,1,EF-988960,EQ-258607,Ion Pulverizer,10.674,Zeta,858.88,18.88,0.233,99132
EF-C-0000082,1,EF-652179,EQ-885517,ReglAggregators,11.203,Epsilon,289.19,12.86,0.476,58075
EF-C-0000083,1,EF-369271,EQ-441591,ReglAggregators,14.478,Zeta,720.39,3.3,0.315,153983
EF-C-0000084,1,EF-457053,EQ-061877,ReglAggregators,13.119,Helionis Cluster,312.66,9.15,0.7,38230
EF-C-0000085,1,EF-914950,EQ-688582,Graviton Extractor,12.119,Epsilon,997.55,19.89,0.913,195743
EF-C-0000086,1,EF-568029,EQ-763265,ReglAggregators,14.737,Epsilon,582.41,1.6,0.683,65149
EF-C-0000087,1,EF-366780,EQ-219736,ReglAggregators,12.279,Helionis Cluster,776.11,23.28,0.792,88008
EF-C-0000088,1,EF-237037,EQ-986063,ReglAggregators,12.698,Helionis Cluster,686.53,14.81,0.687,106642
EF-C-0000089,2,EF-237037,EQ-986063,ReglAggregators,12.698,Helionis Cluster,686.53,14.81,0.687,72232
EF-C-0000090,1,EF-237037,EQ-986063,ReglAggregators,12.698,Helionis Cluster,686.53,14.81,0.687,75042
EF-C-0000091,2,EF-237037,EQ-986063,ReglAggregators,12.698,Helionis Cluster,686.53,14.81,0.687,36828
EF-C-0000092,1,EF-247243,EQ-661315,ReglAggregators,11.133,Epsilon,1242.62,20.89,0.601,121794
EF-C-0000093,1,EF-016025,EQ-779434,ReglAggregators,8.952,Helionis Cluster,201.63,0.95,0.686,43185
EF-C-0000094,1,EF-514258,EQ-230104,Flux Rider,6.103,Helionis Cluster,1426,1.98,0.75,20383
EF-C-0000095,1,EF-668497,EQ-870681,ReglAggregators,8.572,Zeta,147.86,12.68,0.357,54557
EF-C-0000096,1,EF-635383,EQ-019656,Quantum Bore,11.778,Helionis Cluster,1222.6,2.47,0.416,117076
EF-C-0000097,1,EF-840980,EQ-127988,Flux Rider,7.723,Helionis Cluster,878.38,14.56,0.542,17988
EF-C-0000098,2,EF-840980,EQ-127988,Flux Rider,7.723,Helionis Cluster,878.38,14.56,0.542,40307
EF-C-0000099,1,EF-840980,EQ-127988,Flux Rider,7.723,Helionis Cluster,878.38,14.56,0.542,12761
EF-C-0000100,2,EF-840980,EQ-127988,Flux Rider,7.723,Helionis Cluster,878.38,14.56,0.542,71344
EF-C-0000101,1,EF-024185,EQ-230295,ReglAggregators,11.681,Epsilon,637.82,19.36,0.824,85185
EF-C-0000102,1,EF-444601,EQ-409995,Quantum Bore,14.428,Epsilon,223.77,4.9,0.78,66343
EF-C-0000103,1,EF-139328,EQ-156820,Flux Rider,16.951,Helionis Cluster,1545.28,13.79,0.869,39295
EF-C-0000104,1,EF-826794,EQ-033353,Graviton Extractor,14.721,Helionis Cluster,1474.43,22.95,0.612,74902
EF-C-0000105,1,EF-703858,EQ-680398,Flux Rider,8.728,Zeta,701.27,7.7,0.653,67553
EF-C-0000106,1,EF-810557,EQ-948224,Ion Pulverizer,10.466,Epsilon,1470.27,20.15,0.158,87583
EF-C-0000107,1,EF-062332,EQ-631010,ReglAggregators,13.476,Helionis Cluster,1537.04,7.62,0.689,46158
EF-C-0000108,1,EF-716807,EQ-818848,FexStram Carrier,12.83,Epsilon,1438.59,17.79,0.623,57780
EF-C-0000109,1,EF-833574,EQ-037961,Quantum Bore,3.673,Helionis Cluster,1047.57,17.86,0.603,141909
EF-C-0000110,1,EF-002499,EQ-776976,Ion Pulverizer,6.831,Zeta,892.45,13.58,0.253,82503
EF-C-0000111,1,EF-951886,EQ-047211,Graviton Extractor,15.586,Zeta,1735.03,19.3,0.879,65630
EF-C-0000112,1,EF-189418,EQ-987910,Quantum Bore,6.134,Epsilon,482.31,7.58,0.733,80562
EF-C-0000113,1,EF-347049,EQ-116953,ReglAggregators,14.404,Helionis Cluster,1790.77,11.88,0.318,68751
EF-C-0000114,1,EF-837827,EQ-487178,Ion Pulverizer,15.305,Helionis Cluster,1394.26,3.56,0.561,93897
EF-C-0000115,1,EF-119814,EQ-884210,FexStram Carrier,10.3,Zeta,1440.33,20.76,0.338,151128
EF-C-0000116,1,EF-267365,EQ-111031,Graviton Extractor,12.546,Zeta,1054.87,17.44,0.686,52231
EF-C-0000117,1,EF-532779,EQ-776828,Graviton Extractor,8.917,Helionis Cluster,1170.37,92.30568893,0.777,149912
EF-C-0000118,1,EF-863582,EQ-549890,ReglAggregators,13.331,Zeta,1488.93,19.05,0.267,212865
EF-C-0000119,1,EF-126304,EQ-211329,Quantum Bore,15.806,Epsilon,817.42,10.49,0.518,111275
EF-C-0000120,1,EF-736166,EQ-622746,Ion Pulverizer,15.199,Helionis Cluster,1290.07,20.66,0.875,67387
EF-C-0000121,1,EF-371656,EQ-764891,Graviton Extractor,14.499,Epsilon,1691.29,4.22,0.726,49492
EF-C-0000122,1,EF-113719,EQ-856338,Quantum Bore,18.118,Epsilon,1260.62,18.78,0.853,79673
EF-C-0000123,1,EF-580319,EQ-322696,ReglAggregators,3,Zeta,1490.82,5.68,0.398,60954
EF-C-0000124,1,EF-381932,EQ-045060,ReglAggregators,10.129,Epsilon,602.42,11.63,0.552,50993
EF-C-0000125,1,EF-885673_???7397,EQ-923392,Quantum Bore,11.834,Epsilon,335.2,17.51,0.523,236472
EF-C-0000126,1,EF-652029,EQ-217133,Ion Pulverizer,3,Helionis Cluster,1111.92,14.43,0.691,131641
EF-C-0000127,1,EF-743275,EQ-065830,Ion Pulverizer,4.846,Helionis Cluster,1218.69,11.74,0.18,58522
EF-C-0000128,1,EF-741724,EQ-511837,Quantum Bore,14.811,Zeta,164.94,17.27,0.655,82338
EF-C-0000129,1,EF-559936,EQ-625419,ReglAggregators,8.555,Epsilon,1398.39,23.58,0.494,88483
EF-C-0000130,1,EF-897691,EQ-804720,Quantum Bore,21.444,Helionis Cluster,1049.86,18.8,0.561,127681
EF-C-0000131,1,EF-581443,EQ-508843,Quantum Bore,16.943,Epsilon,419.22,16.93,0.415,65068
EF-C-0000132,1,EF-303244,EQ-247360,Graviton Extractor,4.201,Epsilon,1456.69,10.15,0.514,48175
EF-C-0000133,1,EF-716454,EQ-274185,FexStram Carrier,11.503,Zeta,1187.25,23.78,0.655,64227
EF-C-0000134,1,EF-882470,EQ-435455,ReglAggregators,4.597,Zeta,717.28,22.49,0.663,86073
EF-C-0000135,1,EF-694192,EQ-678953,Ion Pulverizer,9.662,Helionis Cluster,1667.12,19.71,0.687,38893
EF-C-0000136,1,EF-554577,EQ-145373,Flux Rider,4.098,Zeta,176.32,6.04,0.626,46755
EF-C-0000137,1,EF-664936,EQ-752658,Graviton Extractor,8.513,Epsilon,1574.35,17.61,0.814,115330
EF-C-0000138,1,EF-666130,EQ-142449,Quantum Bore,8.236,Zeta,694.31,0.83,0.587,130160
EF-C-0000139,1,EF-764217,EQ-997646,Graviton Extractor,9.686,Epsilon,191.07,21.41,0.95,59711
EF-C-0000140,1,EF-392426,EQ-002809,ReglAggregators,7.333,Epsilon,941.83,5.52,0.721,38427
EF-C-0000141,1,EF-443931,EQ-293466,Ion Pulverizer,10.708,Helionis Cluster,1774.82,13.01,0.378,0
EF-C-0000142,1,EF-351727,EQ-290414,ReglAggregators,15.051,Helionis Cluster,648.87,1.6,0.562,18941
EF-C-0000143,1,EF-034130,EQ-529492,Quantum Bore,19.074,Zeta,1384.24,13.26,0.796,281466
EF-C-0000144,1,EF-972095,EQ-516063,Quantum Bore,7.583,Zeta,1770.62,23.53,0.678,133730
EF-C-0000145,1,EF-442156,EQ-519182,Quantum Bore,8.403,Helionis Cluster,818.91,23.57,0.825,238349
EF-C-0000146,1,EF-346066,EQ-940124,Quantum Bore,14.867,Zeta,194.43,6.72,0.297,126003
EF-C-0000147,1,EF-490364,EQ-775978,Ion Pulverizer,10.785,Zeta,1190.35,2.73,0.525,46185
EF-C-0000148,1,EF-352424,EQ-886860,Ion Pulverizer,15.265,Epsilon,959.33,21,0.76,88719
EF-C-0000149,1,EF-286499,EQ-425134,Flux Rider,3,Zeta,456.93,6.99,0.467,37681
EF-C-0000150,1,EF-474334,EQ-530693,Ion Pulverizer,8.349,Helionis Cluster,1153.71,19.84,0.594,133537
EF-C-0000151,1,EF-782550,EQ-389706,Ion Pulverizer,6.681,Epsilon,106.43,7.81,0.581,61333
EF-C-0000152,1,EF-313531,EQ-029535,Quantum Bore,20.047,Helionis Cluster,1466.68,13.78,0.684,132372
EF-C-0000153,1,EF-713202,EQ-020545,Graviton Extractor,11.536,Zeta,1063.62,18.82,0.668,129476
EF-C-0000154,1,EF-270050,EQ-852008,Quantum Bore,10.378,Zeta,1004.09,12.06,0.585,203820
EF-C-0000155,1,EF-691222,EQ-249398,Graviton Extractor,11.299,Zeta,1789.89,20.67,0.574,226066
EF-C-0000156,2,EF-691222,EQ-249398,Graviton Extractor,11.299,Zeta,1789.89,20.67,0.574,41567
EF-C-0000157,1,EF-691222,EQ-249398,Graviton Extractor,11.299,Zeta,1789.89,20.67,0.574,147585
EF-C-0000158,2,EF-691222,EQ-249398,Graviton Extractor,11.299,Zeta,1789.89,20.67,0.574,148802
EF-C-0000159,1,EF-285049,EQ-624708,Flux Rider,3.631,Epsilon,136.92,12.02,0.347,24466
EF-C-0000160,1,EF-749675,EQ-930169,Quantum Bore,17.11,Helionis Cluster,1066.23,21.7,0.982,161146
EF-C-0000161,1,EF-222995,EQ-056429,Quantum Bore,8.298,Epsilon,1720.57,18.66,0.524,109923
EF-C-0000162,1,EF-007021,EQ-394732,Flux Rider,3.837,Zeta,1157.17,16.08,0.554,17614
EF-C-0000163,1,EF-823742,EQ-855632,ReglAggregators,7.55,Epsilon,1742.15,22.97,0.657,28338
EF-C-0000164,1,EF-450117,EQ-791825,FexStram Carrier,6.463,Epsilon,1332.05,17.06,0.206,41292
EF-C-0000165,1,EF-085548,EQ-672904,FexStram Carrier,16.36,Epsilon,1698.46,6.63,0.826,82704
EF-C-0000166,1,EF-053929,EQ-539094,ReglAggregators,16.802,Helionis Cluster,1470.73,4.15,0.423,114788
EF-C-0000167,1,EF-604773,EQ-314829,FexStram Carrier,15.823,Zeta,396.62,13.14,0.572,34772
EF-C-0000168,1,EF-389785,EQ-507149,Graviton Extractor,3,Epsilon,1231.03,1.07,0.093,61397
EF-C-0000169,1,EF-640641,EQ-059044,Quantum Bore,12.99,Epsilon,866.5,4.97,0.41,90044
EF-C-0000170,1,EF-237553,EQ-881379,ReglAggregators,16.254,Epsilon,892.81,6.97,0.468,66593
EF-C-0000171,1,EF-234118,EQ-057261,Graviton Extractor,12.174,Zeta,1404.01,5.02,0.798,79584
EF-C-0000172,1,EF-150928,EQ-643206,Flux Rider,13.651,Epsilon,1141.7,5.81,0.183,23141
EF-C-0000173,1,EF-971167,EQ-432239,Quantum Bore,5.24,Zeta,1665.85,13.14,0.851,212537
EF-C-0000174,1,EF-560248,EQ-065392,Quantum Bore,16.16,Zeta,475.88,21.69,0.429,235639
EF-C-0000175,1,EF-027241,EQ-818096,Ion Pulverizer,7.945,Helionis Cluster,989.38,3.92,0.777,84191
EF-C-0000176,1,EF-613591,EQ-258200,ReglAggregators,23.355,Helionis Cluster,806.19,5.65,0.4,82761
EF-C-0000177,1,EF-895225,EQ-371825,Ion Pulverizer,6.835,Epsilon,1472.26,12.43,0.641,49474
EF-C-0000178,1,EF-308238,EQ-898231,Quantum Bore,14.349,Helionis Cluster,1207.5,0.26,0.337,116584
EF-C-0000179,1,EF-460449,EQ-310228,Ion Pulverizer,16.493,Helionis Cluster,189.82,12.61,0.483,91996
EF-C-0000180,1,EF-795996,EQ-996204,FexStram Carrier,0,Helionis Cluster,269.12,2.29,0.428,64521
EF-C-0000181,1,EF-029285,EQ-870559,FexStram Carrier,17.412,Helionis Cluster,1262.46,17.4,0.5,27331
EF-C-0000182,1,EF-261034,EQ-292438,ReglAggregators,12.327,Zeta,574.1,20.95,0.574,88597
EF-C-0000183,2,EF-261034,EQ-292438,ReglAggregators,12.327,Zeta,574.1,20.95,0.574,202042
EF-C-0000184,1,EF-261034,EQ-292438,ReglAggregators,12.327,Zeta,574.1,20.95,0.574,37948
EF-C-0000185,2,EF-261034,EQ-292438,ReglAggregators,12.327,Zeta,574.1,20.95,0.574,64216
EF-C-0000186,1,EF-224428,EQ-633439,Ion Pulverizer,9.085,Zeta,1600.88,16.52,0.84,48342
EF-C-0000187,1,EF-360120,EQ-204536,ReglAggregators,14.581,Helionis Cluster,882.81,21.04,0.822,147746
EF-C-0000188,1,EF-186797,EQ-334411,Flux Rider,4.89,Epsilon,895.15,10.21,0.576,46863
EF-C-0000189,2,EF-186797,EQ-334411,Flux Rider,4.89,Epsilon,895.15,10.21,0.576,62194
EF-C-0000190,1,EF-186797,EQ-334411,Flux Rider,4.89,Epsilon,895.15,10.21,0.576,59712
EF-C-0000191,2,EF-186797,EQ-334411,Flux Rider,4.89,Epsilon,895.15,10.21,0.576,42062
EF-C-0000192,1,EF-861271,EQ-928258,ReglAggregators,6.943,Epsilon,1762.62,8.51,0.472,55958
EF-C-0000193,1,EF-688904,EQ-840369,FexStram Carrier,15.085,Epsilon,1619.33,14.56,0.401,35440
EF-C-0000194,1,EF-735322,EQ-808559,ReglAggregators,10.375,Epsilon,443.76,4.95,0.294,122944
EF-C-0000195,1,EF-553216,EQ-830343,Ion Pulverizer,18.038,Zeta,291.8,13.98,0.916,147117
EF-C-0000196,1,EF-257740,EQ-981398,Graviton Extractor,20.247,Zeta,617.57,21.78,0.56,136604
EF-C-0000197,1,EF-817415,EQ-576486,Flux Rider,18.274,Helionis Cluster,970.64,6.58,0.506,21109
EF-C-0000198,1,EF-669808,EQ-084959,Graviton Extractor,13.765,Zeta,1355.87,18.94,0.595,133159
EF-C-0000199,1,EF-631255,EQ-203388,Graviton Extractor,17.305,Epsilon,1020.41,15.55,0.855,157747
EF-C-0000200,1,EF-440804,EQ-270853,Ion Pulverizer,15.629,Zeta,132.49,4.78,0.619,61490
EF-C-0000201,1,EF-365822,EQ-041765,FexStram Carrier,5.38,Helionis Cluster,1744.9,23.92,0.697,163259
EF-C-0000202,1,EF-576314,EQ-524696,ReglAggregators,7.704,Epsilon,1283.76,12.96,0.524,65665
EF-C-0000203,1,EF-007992,EQ-603198,ReglAggregators,15.244,Epsilon,393.72,18.39,0.591,180735
EF-C-0000204,1,EF-230322,EQ-322751,Ion Pulverizer,19.244,Helionis Cluster,147.41,0.88,0.929,92802
EF-C-0000205,1,EF-200400,EQ-095802,Ion Pulverizer,11.228,Epsilon,1010.8,1.5,0.865,61262
EF-C-0000206,1,EF-003172,EQ-389632,Ion Pulverizer,14.187,Zeta,1668.57,20.43,0.816,87858
EF-C-0000207,1,EF-527268,EQ-188927,Quantum Bore,13.551,Zeta,1542.79,20.8,0.325,154978
EF-C-0000208,1,EF-918480,EQ-397972,Graviton Extractor,10.151,Epsilon,1698.9,12.47,0.776,39816
EF-C-0000209,1,EF-866062,EQ-334586,ReglAggregators,9.101,Helionis Cluster,355.61,7.25,0.083,47138
EF-C-0000210,1,EF-910072,EQ-667659,Quantum Bore,9.024,Zeta,1257.3,13.44,0.91,82537
EF-C-0000211,1,EF-021440,EQ-258315,ReglAggregators,24.322,Epsilon,1626.09,19.04,0.694,221973
EF-C-0000212,2,EF-021440,EQ-258315,ReglAggregators,24.322,Epsilon,1626.09,19.04,0.694,140646
EF-C-0000213,3,EF-021440,EQ-258315,ReglAggregators,24.322,Epsilon,1626.09,19.04,0.694,119258
EF-C-0000214,1,EF-021440,EQ-258315,ReglAggregators,24.322,Epsilon,1626.09,19.04,0.694,143636
EF-C-0000215,2,EF-021440,EQ-258315,ReglAggregators,24.322,Epsilon,1626.09,19.04,0.694,145472
EF-C-0000216,3,EF-021440,EQ-258315,ReglAggregators,24.322,Epsilon,1626.09,19.04,0.694,68485
EF-C-0000217,1,EF-021440,EQ-258315,ReglAggregators,24.322,Epsilon,1626.09,19.04,0.694,185808
EF-C-0000218,2,EF-021440,EQ-258315,ReglAggregators,24.322,Epsilon,1626.09,19.04,0.694,156722
EF-C-0000219,3,EF-021440,EQ-258315,ReglAggregators,24.322,Epsilon,1626.09,19.04,0.694,74149
EF-C-0000220,1,EF-796909,EQ-365478,ReglAggregators,19.086,Zeta,1248.47,1.42,0.498,97690
EF-C-0000221,1,EF-517783,EQ-138604,ReglAggregators,11.821,Zeta,158.73,21.41,0.31,227778
EF-C-0000222,1,EF-732086,EQ-040060,Graviton Extractor,6.906,Epsilon,365.04,23.43,0.624,54676
EF-C-0000223,1,EF-225514,EQ-075490,Flux Rider,8.142,Helionis Cluster,864.75,1.69,0.671,39622
EF-C-0000224,1,EF-988067_???7302,EQ-794387,Graviton Extractor,8.049,Epsilon,1157.76,14.54,0.653,51686
EF-C-0000225,1,EF-601125,EQ-562023,Ion Pulverizer,14.689,Epsilon,1711.42,4.99,0.479,49815
EF-C-0000226,1,EF-705482,EQ-653449,ReglAggregators,12.528,Epsilon,1599.72,20.73,0.348,84805
EF-C-0000227,1,EF-479250,EQ-280803,ReglAggregators,4.835,Helionis Cluster,350.9,19.94,0.798,43760
EF-C-0000228,1,EF-765034,EQ-066357,ReglAggregators,3,Zeta,341.09,20.48,0.433,127735
EF-C-0000229,1,EF-449151,EQ-493605,Flux Rider,11.8,Zeta,1372.67,8.49,0.563,46019
EF-C-0000230,2,EF-449151,EQ-493605,Flux Rider,11.8,Zeta,1372.67,8.49,0.563,79125
EF-C-0000231,1,EF-449151,EQ-493605,Flux Rider,11.8,Zeta,1372.67,8.49,0.563,102223
EF-C-0000232,2,EF-449151,EQ-493605,Flux Rider,11.8,Zeta,1372.67,8.49,0.563,56263
EF-C-0000233,1,EF-348944,EQ-134166,ReglAggregators,16.578,Epsilon,1316.85,9.48,0.562,93555
EF-C-0000234,1,EF-179773,EQ-139451,ReglAggregators,3.437,Epsilon,141.76,10.9,0.256,78871
EF-C-0000235,1,EF-659315,EQ-000271,Quantum Bore,16.544,Helionis Cluster,1052.95,10.54,0.667,79950
EF-C-0000236,1,EF-766254,EQ-058105,ReglAggregators,14.044,Epsilon,1684.45,3.18,0.535,110934
EF-C-0000237,1,EF-558623,EQ-983960,ReglAggregators,4.779,Zeta,664.98,23.03,0.973,103929
