claim_id,claim_seq,policy_id,shipment_id,cargo_type,cargo_value,weight,route_risk,distance,transit_duration,pilot_experience,vessel_age,container_type,solar_radiation,debris_density,exposure,claim_amount
CAR-C-0000029,3,CL-354850,S-082441,lithium,9840000,120000,2,43.29,32.848,21.482,15.737,QuantumCrate Module,0.265,0.171,0.083,802709
CAR-C-0000030,1,CL-893584,S-495594,rare earths,3825000,45000,3,9.17,5.726,12.64,1.869,DockArc Freight Case,0.289,0.276,0.173,827006
CAR-C-0000031,1,CL-050118,S-527200,rare earths,2975000,35000,3,10.89,6.124,22.301,13.356,HardSeal Transit Crate,0.263,0.225,0.767,358317
CAR-C-0000032,1,CL-975993,S-551495,lithium,7380000,90000,2,7.37,4.935,14.28,15.671,DeepSpace Haulbox,0.088,0.144,0.272,41426
CAR-C-0000033,1,CL-919063,S-578888,cobalt,8320000,160000,2,10.81,4.986,13.242,16.203,LongHaul Vault Canister,0.308,0.17,0.084,983320
CAR-C-0000034,2,CL-919063,S-578888,cobalt,8320000,160000,2,10.81,4.986,13.242,16.203,LongHaul Vault Canister,0.308,0.17,0.084,322176
CAR-C-0000035,1,CL-637113,S-222922,cobalt,9360000,180000,3,41.88,22.298,15.823,14.313,DockArc Freight Case,0.304,0.178,0.134,198546
CAR-C-0000036,2,CL-637113,S-222922,cobalt,9360000,180000,3,41.88,22.298,15.823,14.313,DockArc Freight Case,0.304,0.178,0.134,528074
CAR-C-0000037,3,CL-637113,S-222922,cobalt,9360000,180000,3,41.88,22.298,15.823,14.313,DockArc Freight Case,0.304,0.178,0.134,2021534
CAR-C-0000038,1,CL-328014,S-822402,lithium,6150000,75000,5,15.17,9.103,21.773,26.148,DockArc Freight Case,0.263,0.362,0.739,498376
CAR-C-0000039,2,CL-328014,S-822402,lithium,6150000,75000,5,15.17,9.103,21.773,26.148,DockArc Freight Case,0.263,0.362,0.739,401498
CAR-C-0000040,1,CL-129215,S-583761,lithium,8610000,105000,1,60.78,37.733,14.825,10.145,QuantumCrate Module,0.251,0.16,0.214,331263
CAR-C-0000041,2,CL-129215,S-583761,lithium,8610000,105000,1,60.78,37.733,14.825,10.145,QuantumCrate Module,0.251,0.16,0.214,177167
CAR-C-0000042,1,CL-230175,S-179265,lithium,7380000,90000,4,44.02,28.54,12.127,10.858,DockArc Freight Case,0.252,0.433,0.524,281810
CAR-C-0000043,1,CL-501757,S-855977,gold,339000000,2500,2,43.91,21.763,12.001,15.294,DeepSpace Haulbox,0.152,0.076,0.202,25343966
CAR-C-0000044,1,CL-743240,S-550622,gold,406800000,3000,4,17.78,11.768,15.029,33.045,DockArc Freight Case,0.189,0.183,0.136,89765970
CAR-C-0000045,1,CL-357520,S-550491,lithium,7380000,90000,3,23.4,15.482,20.596,24.768,DeepSpace Haulbox,0,0.317,0.083,276215
CAR-C-0000046,2,CL-357520,S-550491,lithium,7380000,90000,3,23.4,15.482,20.596,24.768,DeepSpace Haulbox,0,0.317,0.083,208917
CAR-C-0000047,3,CL-357520,S-550491,lithium,7380000,90000,3,23.4,15.482,20.596,24.768,DeepSpace Haulbox,0,0.317,0.083,338444
CAR-C-0000048,4,CL-357520,S-550491,lithium,7380000,90000,3,23.4,15.482,20.596,24.768,DeepSpace Haulbox,0,0.317,0.083,120484
CAR-C-0000049,5,CL-357520,S-550491,lithium,7380000,90000,3,23.4,15.482,20.596,24.768,DeepSpace Haulbox,0,0.317,0.083,466345
CAR-C-0000050,1,CL-091887,S-466525,cobalt,7280000,140000,2,20.34,12.532,14.851,16.173,LongHaul Vault Canister,0.191,0.168,0.212,1877297
CAR-C-0000051,2,CL-091887,S-466525,cobalt,7280000,140000,2,20.34,12.532,14.851,16.173,LongHaul Vault Canister,0.191,0.168,0.212,1057763
CAR-C-0000052,3,CL-091887,S-466525,cobalt,7280000,140000,2,20.34,12.532,0,16.173,LongHaul Vault Canister,0.191,0.168,0.212,742605
CAR-C-0000053,1,CL-941632,S-867663,platinum,98100000,1800,3,37.94,20.409,10.905,37.173,DeepSpace Haulbox,0.362,0.302,0.996,9212837
CAR-C-0000054,1,CL-138911,S-461768,rare earths,3825000,45000,3,14.99,8.172,9.735,13.728,DeepSpace Haulbox,0.203,0.142,0.806,87100
CAR-C-0000055,1,CL-283266,S-217605,cobalt,5200000,100000,5,1.58,1.044,16.314,22.304,DockArc Freight Case,0,0.222,0.235,750044
CAR-C-0000056,1,CL-813517,S-017720,cobalt,5200000,100000,3,51.95,38.047,21.967,12.8,DeepSpace Haulbox,0.336,0.449,0.479,327601
CAR-C-0000057,1,CL-676642,S-307361,lithium,7380000,90000,5,1.58,1,14.651,27.217,LongHaul Vault Canister,0.261,0.222,0.137,553954
CAR-C-0000058,2,CL-676642,S-307361,lithium,7380000,90000,5,1.58,1,14.651,27.217,LongHaul Vault Canister,0.261,0.222,0.137,2007944
CAR-C-0000059,1,CL-150121,S-760188,supplies,800000,80000,2,38.71,29.098,17.309,15.487,DeepSpace Haulbox,0.21,0.302,0.124,32599
CAR-C-0000060,1,CL-621907,S-815991,cobalt,5200000,100000,3,38,19.429,10.746,23.428,DockArc Freight Case,0.325,0.323,0.232,795462
CAR-C-0000061,2,CL-621907,S-815991,cobalt,5200000,100000,3,38,19.429,10.746,23.428,DockArc Freight Case,0.325,0.323,0.232,174045
CAR-C-0000062,1,CL-590236,S-881293,supplies,1000000,100000,2,20.37,12.803,17.446,30.954,QuantumCrate Module,0.203,0,0.229,56416
CAR-C-0000063,2,CL-590236,S-881293,supplies,1000000,100000,2,20.37,12.803,17.446,30.954,QuantumCrate Module,0.203,0,0.229,188706
CAR-C-0000064,1,CL-593646,S-972398,cobalt,9360000,180000,2,15.24,4.774,15.643,14.075,HardSeal Transit Crate,0.177,0.246,0.713,1127045
CAR-C-0000065,1,CL-562805,S-349057,gold,542400000,4000,3,31.5,19.862,17.318,25.768,DockArc Freight Case,0.124,0.292,0.151,5846824
CAR-C-0000066,1,CL-424925,S-356311,platinum,147150000,2700,1,25.35,10.741,13.775,21.325,LongHaul Vault Canister,0.233,0.27,0.095,3025252
CAR-C-0000067,2,CL-424925,S-356311,platinum,147150000,2700,1,25.35,10.741,13.775,21.325,LongHaul Vault Canister,0.233,0.27,0.095,5936014
CAR-C-0000068,1,CL-244829,S-627263,titanium,1575000,225000,3,20.84,9.621,15.943,19.618,DockArc Freight Case,0.368,0.456,0.785,55922
CAR-C-0000069,1,CL-778038,S-816188,gold,542400000,4000,4,15.84,8.736,15.568,27.195,DockArc Freight Case,0.156,0.154,0.795,81627847
CAR-C-0000070,1,CL-270400,S-218298,supplies,500000,50000,3,16.01,9.057,10.619,16.892,LongHaul Vault Canister,0.143,0.161,0.213,42105
CAR-C-0000071,1,CL-303082,S-478958,gold,678000000,5000,5,36.69,20.537,14.544,5.766,DockArc Freight Case,0.322,0.305,0.547,65905547
CAR-C-0000072,1,CL-378375,S-370312,cobalt,8320000,160000,5,24.8,15.34,18.719,15.214,HardSeal Transit Crate,0.174,0.338,0.839,1547789
CAR-C-0000073,1,CL-661103,S-420116,platinum,114450000,2100,4,1.58,1.216,14.08,11.651,LongHaul Vault Canister,0.197,0.143,0.824,2499180
CAR-C-0000074,1,CL-175231,S-437856,rare earths,3400000,40000,3,28.5,17.893,13.858,26.731,DeepSpace Haulbox_???6589,0.196,0.206,0.57,294285
CAR-C-0000075,1,CL-605731,S-997427,lithium,12300000,150000,1,58.85,26.902,12.847,35.184,LongHaul Vault Canister,0.294,0.237,0.216,1617513
CAR-C-0000076,1,CL-716375,S-783800,supplies,900000,90000,3,4.46,3.504,11.795,25.499,HardSeal Transit Crate,0.161,0.169,0.929,120317
CAR-C-0000077,1,CL-352649,S-844296,cobalt,7280000,140000,3,48.53,30.073,17.916,18.876,LongHaul Vault Canister,0.424,0.277,0.169,909075
CAR-C-0000078,1,CL-118386,S-321168,platinum,114450000,2100,4,44.12,25.844,11.406,23.739,DeepSpace Haulbox,0.448,0.204,0.631,4589862
CAR-C-0000079,1,CL-170269,S-725506,supplies,900000,90000,2,40.78,25.471,14.001,33.321,LongHaul Vault Canister,0.272,0,0.218,49904
CAR-C-0000080,1,CL-023891,S-017912,gold,610200000,4500,3,19.29,13.205,14.411,34.773,QuantumCrate Module,0.092,0.297,0.225,56101711
CAR-C-0000081,1,CL-358711,S-950502,supplies,600000,60000,5,56.11,37.652,16.494,38.337,DockArc Freight Case,0.402,0.251,0.87,18684
CAR-C-0000082,1,CL-642144,S-103923,rare earths,3825000,45000,1,3.27,2.459,15.242,31.855,QuantumCrate Module,0.217,0.136,0.17,91406
CAR-C-0000083,1,CL-555340,S-184852,lithium,9840000,120000,4,25.94,20.512,12.983,30.024,DockArc Freight Case,0.37,0.067,0.224,552272
CAR-C-0000084,2,CL-555340,S-184852,lithium,9840000,120000,4,25.94,20.512,12.983,30.024,DockArc Freight Case,0.37,0.067,0.224,1164178
CAR-C-0000085,1,CL-738541,S-282378,cobalt,8320000,160000,2,5.15,2.041,13.712,26.303,QuantumCrate Module,0.029,0.093,0.603,1249057
CAR-C-0000086,1,CL-343260,S-455320,cobalt,8320000,160000,2,39.26,23.024,15.995,42.575,LongHaul Vault Canister,0.334,0.103,0.083,220581
CAR-C-0000087,2,CL-343260,S-455320,cobalt,8320000,160000,2,39.26,23.024,15.995,42.575,LongHaul Vault Canister,0.334,0.103,0.083,0
CAR-C-0000088,1,CL-697632,S-911428,titanium,1225000,175000,2,35.46,23.074,16.758,20.671,HardSeal Transit Crate,0,0.234,0.534,70199
CAR-C-0000089,1,CL-647605,S-949081,platinum,81750000,1500,4,17.47,11.134,8.388,13.963,QuantumCrate Module,0.309,0.189,0.845,3428938
CAR-C-0000090,1,CL-571414,S-784470,rare earths,3400000,40000,3,12.31,7.31,21.566,17.208,DockArc Freight Case,0.269,0.226,0.244,291725
CAR-C-0000091,1,CL-466009,S-802390,platinum,98100000,1800,3,8.28,5.832,9.791,20.848,LongHaul Vault Canister,0.213,0.269,0.701,5376118
CAR-C-0000092,1,CL-995641,S-498162,lithium,7380000,1370756,4,42.13,22.694,12.225,8.586,HardSeal Transit Crate,0.186,0.307,0.247,541975
CAR-C-0000093,1,CL-861985,S-986428,cobalt,10400000,200000,2,46.1,21.774,12.377,31.117,LongHaul Vault Canister,0.193,0.296,0.505,538108
CAR-C-0000094,1,CL-802876,S-542842,titanium,875000,125000,1,37.04,24.035,14.368,30.952,LongHaul Vault Canister,0.219,0.153,0.406,15381
CAR-C-0000095,1,CL-032359,S-460661,cobalt,8320000,160000,5,5.72,3.504,17.353,28.182,QuantumCrate Module,0.254,0.345,0.698,566093
CAR-C-0000096,1,CL-593580,S-820983,titanium,1225000,175000,2,1.58,1.086,11.27,13.527,LongHaul Vault Canister,0.201,0.17,0.551,47682
CAR-C-0000097,1,CL-111022,S-053673,gold,610200000,4500,5,1.58,1,14.381,13.981,QuantumCrate Module,0.165,0.329,0.183,1341691721
CAR-C-0000098,2,CL-111022,S-053673,gold,610200000,4500,5,1.58,1,14.381,13.981,QuantumCrate Module,0.165,0.329,0.183,61140330
CAR-C-0000099,3,CL-111022,S-053673,gold,610200000,4500,5,1.58,1,14.381,13.981,QuantumCrate Module,0.165,0.329,0.183,41431458
CAR-C-0000100,1,CL-741996,S-765369,lithium,8610000,105000,3,9.09,5.436,28.389,14.665,DeepSpace Haulbox,0.155,0.264,0.693,633744
CAR-C-0000101,1,CL-319501,S-537942,supplies,600000,60000,2,19.5,13.899,9.233,19.41,DeepSpace Haulbox,0.097,0.198,0.083,33148
CAR-C-0000102,2,CL-319501,S-537942,supplies,600000,60000,2,19.5,13.899,9.233,19.41,DeepSpace Haulbox,0.097,0.198,0.083,45292
CAR-C-0000103,1,CL-217167,S-679471,platinum,98100000,1800,4,8.36,4.51,20.851,29.064,HardSeal Transit Crate,0.253,0.23,0.229,2065272
CAR-C-0000104,1,CL-588972,S-673271,titanium,1750000,250000,3,42.56,28.244,8.838,21.696,HardSeal Transit Crate,0.222,0.207,0.482,183638
CAR-C-0000105,1,CL-373612,S-299399,platinum,98100000,1800,1,10.59,4.679,15.028,11.432,QuantumCrate Module,0.239,0.151,0.177,2612387
CAR-C-0000106,1,CL-337449,S-600083,platinum,163500000,3000,3,31.75,18.112,27.873,14.424,HardSeal Transit Crate,0.334,0.459,0.601,2132634
CAR-C-0000107,1,CL-531299,S-888939,supplies,900000,90000,3,49.29,32.996,7.389,26.453,DockArc Freight Case,0.288,0.299,0.141,296652
CAR-C-0000108,1,CL-680533,S-590771,rare earths,3825000,45000,1,11.75,6.568,9.446,23.933,QuantumCrate Module,0.221,0.1,0.198,213389
CAR-C-0000109,1,CL-876100,S-317681,platinum,147150000,2700,1,1.58,1,9.333,31.012,DeepSpace Haulbox,0.056,0.097,0.309,6468974
CAR-C-0000110,1,CL-661730,S-183978,rare earths,2550000,30000,4,39.65,24.68,22.1,8.062,QuantumCrate Module,0.395,0.068,0.797,109175
CAR-C-0000111,1,CL-526768,S-287078,titanium,1225000,175000,3,30.89,19.74,20.328,35.641,DockArc Freight Case,0.149,0.03,0.198,40894
CAR-C-0000112,1,CL-127692,S-316937,platinum,98100000,1800,3,1.58,1.168,11.506,37.035,QuantumCrate Module,0.204,0.022,0.157,5348747
CAR-C-0000113,1,CL-955658,S-180956,rare earths,2125000,25000,2,17.15,12.931,10.009,13.077,DockArc Freight Case,0.135,0.267,0.18,582298
CAR-C-0000114,2,CL-955658,S-180956,rare earths,2125000,25000,2,17.15,12.931,10.009,13.077,DockArc Freight Case,0.135,0.267,0.18,106210
CAR-C-0000115,3,CL-955658,S-180956,rare earths,2125000,25000,2,17.15,12.931,10.009,13.077,DockArc Freight Case,0.135,0.267,0.18,22566
CAR-C-0000116,1,CL-095382,S-336587,lithium,7380000,90000,4,34.13,25.137,16.472,36.461,DockArc Freight Case,0.083,0.247,0.493,1161563
CAR-C-0000117,1,CL-769524,S-087018,titanium,1750000,250000,2,17.93,9.74,13.757,16.564,DeepSpace Haulbox,0.178,0.177,0.183,243809
CAR-C-0000118,1,CL-288779,S-894909,supplies,600000,60000,3,39.6,19.704,1.486,27.471,HardSeal Transit Crate,0.142,0.183,0.601,69132
CAR-C-0000119,2,CL-288779,S-894909,supplies,600000,60000,3,39.6,19.704,1.486,27.471,HardSeal Transit Crate,0.142,0.183,0.601,26475
CAR-C-0000120,1,Unknown,S-178295,cobalt,6240000,120000,4,26.67,15.478,5.36,4.111,QuantumCrate Module,0.363,0.321,0.809,355489
CAR-C-0000121,1,CL-051901,S-385121,gold,610200000,4500,1,58.75,32.427,20.92,25.025,HardSeal Transit Crate,0.245,0.4,0.152,25982011
CAR-C-0000122,1,CL-549410,S-182682,gold,474600000,3500,4,67.53,39.61,14.99,17.695,DeepSpace Haulbox,0.371,0.14,0.114,55926028
CAR-C-0000123,1,CL-400723,S-346287,titanium,875000,125000,5,1.58,1.11,15.177,24.401,LongHaul Vault Canister,0.141,0.288,0.232,38076
CAR-C-0000124,2,CL-400723,S-346287,titanium,875000,125000,5,1.58,1.11,15.177,24.401,LongHaul Vault Canister,0.141,0.288,0.232,130165
CAR-C-0000125,3,CL-400723,S-346287,titanium,875000,125000,5,1.58,1.11,15.177,24.401,LongHaul Vault Canister,0.141,0.288,0.232,37002
CAR-C-0000126,4,CL-400723,S-346287,titanium,875000,125000,5,1.58,1.11,15.177,24.401,LongHaul Vault Canister,0.141,0.288,0.232,155710
CAR-C-0000127,1,CL-171849,S-429224,platinum,163500000,3000,3,65.78,32.48,16.796,22.828,QuantumCrate Module,0.28,0.294,0.699,17413186
CAR-C-0000128,1,CL-422821,S-670922,gold,542400000,4000,3,1.58,1,24.849,20.309,QuantumCrate Module,0.351,0,0.134,11834490
CAR-C-0000129,1,CL-442049,S-411610,supplies,800000,80000,3,43.82,34.226,16.125,8.197,DeepSpace Haulbox,0.333,0.268,0.68,93631
CAR-C-0000130,1,CL-126990,S-293179,supplies,600000,60000,2,55.8,38.333,17.319,26.441,HardSeal Transit Crate,0.21,0.438,0.563,26461
CAR-C-0000131,1,CL-340547,S-198442,lithium,9840000,120000,1,28.97,19.608,13.292,15.759,LongHaul Vault Canister,0.394,0.047,0.53,480084
CAR-C-0000132,2,CL-340547,S-198442,lithium,9840000,120000,1,28.97,19.608,13.292,15.759,LongHaul Vault Canister,0.394,0.047,0.53,675232
CAR-C-0000133,1,CL-188250,S-228817,gold,678000000,5000,3,72.34,38.579,16.897,33.005,HardSeal Transit Crate,0.353,0.358,0.112,48038871
CAR-C-0000134,1,CL-770571,S-536165,gold,610200000,4500,2,40.37,29.915,14.65,10.446,HardSeal Transit Crate,0,0.146,0.78,28034117
CAR-C-0000135,1,CL-103966,S-685293,titanium,1400000,200000,1,59.47,38.242,23.728,21.899,HardSeal Transit Crate,0.401,0.161,0.12,43237
CAR-C-0000136,1,CL-693615,S-583212,gold,406800000,3000,1,8.59,5.694,21.054,33.371,LongHaul Vault Canister,0.036,0.157,0.227,9047163
CAR-C-0000137,1,CL-761055,S-228657,platinum,81750000,1500,3,51,38.375,13.096,29.098,DeepSpace Haulbox,0.295,0.285,0.156,8204611
CAR-C-0000138,2,CL-761055,S-228657_???9382,platinum,81750000,1500,3,51,38.375,13.096,29.098,DeepSpace Haulbox,0.295,0.285,0.156,17133571
CAR-C-0000139,3,CL-761055,S-228657,platinum,81750000,1500,3,51,38.375,13.096,29.098,DeepSpace Haulbox,0.295,0.285,0.156,948779
CAR-C-0000140,1,CL-521358,S-513849,rare earths,2550000,30000,3,12.11,9.827,12.843,9.39,HardSeal Transit Crate,0.353,0.101,0.497,50614
CAR-C-0000141,1,CL-745227,S-104893,titanium,1750000,250000,3,11.47,7.32,20.106,26.283,DeepSpace Haulbox,0.216,0.269,0.389,127191
CAR-C-0000142,2,CL-745227,S-104893,titanium,1750000,250000,3,11.47,7.32,20.106,26.283,DeepSpace Haulbox,0.216,0.269,0.389,286374
CAR-C-0000143,3,CL-745227,S-104893,titanium,1750000,250000,3,11.47,7.32,20.106,26.283,DeepSpace Haulbox,0.216,0.269,0.389,107347
CAR-C-0000144,1,CL-300624,S-362178,gold,542400000,4000,2,29.41,16.28,18.697,19.046,LongHaul Vault Canister,0.241,0.279,0.629,55681255
CAR-C-0000145,2,CL-300624,S-362178,gold,542400000,4000,2,29.41,16.28,18.697,19.046,LongHaul Vault Canister,0.241,0.279,0.629,9677015
CAR-C-0000146,1,CL-064476,S-684418,gold,406800000,3000,5,12.86,10.206,17.977,22.879,DeepSpace Haulbox,0.044,0.342,0.23,22007902
CAR-C-0000147,1,CL-034812,S-492686,lithium,7380000,90000,2,25.37,11.349,13.272,21.59,HardSeal Transit Crate,0.383,0.267,0.652,243429
CAR-C-0000148,1,CL-234323,S-333883,supplies,900000,90000,3,28.52,17.797,20.998,15.294,QuantumCrate Module,0.207,0.17,0.249,101247
CAR-C-0000149,1,CL-307095,S-383649,titanium,1750000,250000,4,1.58,1,18.554,10.296,DeepSpace Haulbox,0.167,0.377,0.427,342787
CAR-C-0000150,1,CL-119739,S-043303,titanium,1050000,150000,47,49.13,16.659,11.133,34.064,QuantumCrate Module,0.319,0.326,0.206,77149
CAR-C-0000151,1,CL-817092,S-901039,cobalt,8320000,160000,5,16.43,10.182,10.408,44.151,DockArc Freight Case,0.174,0.21,0.218,336995
CAR-C-0000152,1,CL-626940,S-559396,cobalt,10400000,200000,3,39.38,30.833,14.445,13.957,QuantumCrate Module,0.348,0.218,0.083,506929
CAR-C-0000153,1,CL-592070,S-341226,titanium,1050000,150000,5,13.73,7.386,12.01,31.663,HardSeal Transit Crate,0.199,0.399,0.709,120800
CAR-C-0000154,2,CL-592070,S-341226,titanium,1050000,150000,5,13.73,7.386,12.01,31.663,HardSeal Transit Crate,0.199,0.399,0.709,139708
CAR-C-0000155,1,CL-653312,S-174850,platinum,163500000,3000,3,48.32,30.212,18.325,28.931,DeepSpace Haulbox,0.386,0.266,0.168,9397794
CAR-C-0000156,2,CL-653312,S-174850,platinum,163500000,3000,3,48.32,30.212,18.325,28.931,DeepSpace Haulbox,0.386,0.266,0.168,10279144
CAR-C-0000157,1,CL-215126,S-251814,titanium,1750000,250000,3,25.17,17.234,13.887,16.679,DeepSpace Haulbox,0.319,0.328,0.713,124777
CAR-C-0000158,1,CL-723780,S-545029,rare earths,2550000,30000,3,61.28,37.821,25.145,12.893,DeepSpace Haulbox,0.262,0.271,0.833,69322
CAR-C-0000159,1,CL-435181,S-806377,platinum,114450000,2100,2,12.92,11.402,12.777,37.328,QuantumCrate Module,0.247,0.181,0.253,16351084
CAR-C-0000160,1,CL-549736,S-959270,platinum,81750000,1500,4,46.76,23.956,22.357,23.889,LongHaul Vault Canister,0.241,0.32,0.513,16569830
CAR-C-0000161,1,CL-968964,S-732963,lithium,7380000,90000,3,56.2,35.56,13.5,24.664,DockArc Freight Case,0.199,0.346,0.804,509989
CAR-C-0000162,1,CL-168269,S-033738,lithium,7380000,90000,3,56.75,35.454,17.281,20.731,LongHaul Vault Canister,0.431,0.303,0.083,416247
CAR-C-0000163,1,CL-818326,S-433680,platinum,1357129962,3000,4,30.55,16.934,13.748,9.598,QuantumCrate Module,0.256,0.319,0.242,11619580
CAR-C-0000164,1,CL-130671,S-736868,gold,542400000,4000,3,32.5,11.28,16.518,21.51,QuantumCrate Module,0.335,0.271,0.126,32788652
CAR-C-0000165,1,CL-198538,S-301945,supplies,500000,50000,4,1.58,1,6.116,20.21,DockArc Freight Case,0.149,0.141,0.083,25770
CAR-C-0000166,1,CL-733781,S-706323,gold,474600000,3500,2,36.25,26.997,21.79,9.733,DockArc Freight Case,0.142,0.264,0.083,33862999
CAR-C-0000167,2,CL-733781,S-706323,gold,474600000,3500,2,36.25,26.997,21.79,9.733,DockArc Freight Case,0.142,0.264,0.083,43210991
CAR-C-0000168,1,CL-728660,S-630405,platinum,163500000,3000,3,42.91,22.615,14.749,17.385,DeepSpace Haulbox,0.309,0.462,0.889,1355234
CAR-C-0000169,1,CL-054121,S-342851,rare earths,3400000,40000,3,8.52,4.83,7.241,20.449,DeepSpace Haulbox,0.063,0.159,0.23,844727
CAR-C-0000170,1,CL-433589,S-937671,titanium,1575000,225000,5,41.19,24.054,15.684,14.345,HardSeal Transit Crate,0.52,0.172,0.492,27523
CAR-C-0000171,1,CL-744850,S-214504,lithium,6150000,75000,4,27.31,17.491,14.7,30.367,DeepSpace Haulbox,0.267,0.395,0.24,198287
CAR-C-0000172,1,CL-457704,S-093909,lithium,7380000,90000,3,34.85,27.524,12.895,26.147,HardSeal Transit Crate,0.156,0.419,0.121,478906
CAR-C-0000173,1,CL-990678,S-743244,titanium,875000,125000,3,21.7,16.793,22.72,10.807,DeepSpace Haulbox,0.3,0.187,0.083,73267
CAR-C-0000174,1,CL-169575,S-640130,rare earths,2125000,25000,3,21.32,12.733,10.599,31.811,QuantumCrate Module,0.247,0.269,0.083,202330
CAR-C-0000175,2,CL-169575,S-640130,rare earths,2125000,25000,3,21.32,12.733,10.599,31.811,QuantumCrate Module,0.247,0.269,0.083,815621
CAR-C-0000176,3,CL-169575,S-640130,rare earths,2125000,25000,3,21.32,12.733,10.599,31.811,QuantumCrate Module,0.247,0.269,0.083,117020
